datetime,version,candidate_count,open_strategy_count,tick_queue_backlog,writer_queue_backlog,pending_notifications,unknown_notifications,halted,ticks,gaps,bars,invalid_bars,save_failures
2026-09-22 16:37:42.013,v2.2.0,27,2202,0,0,0,0,False,1416866,65,9822,112,0
2026-09-22 16:38:46.262,v2.2.0,27,2202,0,0,0,0,False,1417631,65,9849,113,0
2026-09-22 16:39:47.857,v2.2.0,27,2202,0,0,0,0,False,1418217,65,9876,113,0
2026-09-22 16:40:49.934,v2.2.0,27,2202,0,0,0,0,False,1418885,65,9903,113,0
2026-09-22 16:41:53.228,v2.2.0,27,2202,0,0,0,0,False,1419486,65,9929,113,0
2026-09-22 16:42:55.066,v2.2.0,27,2202,0,0,0,0,False,1420037,65,9956,113,0
2026-09-22 16:44:14.843,v2.2.0,27,2202,0,0,0,0,False,1420715,65,10007,114,0
2026-09-22 16:45:15.640,v2.2.0,27,2202,0,0,0,0,False,1421191,65,10032,114,0
2026-09-22 16:46:21.648,v2.2.0,27,2202,0,0,0,0,False,1421725,65,10062,114,0
2026-09-22 16:47:25.273,v2.2.0,27,2202,0,0,0,0,False,1422183,65,10088,114,0
2026-09-22 16:48:31.720,v2.2.0,27,2202,0,0,0,0,False,1422749,65,10116,115,0
2026-09-22 16:49:37.889,v2.2.0,27,2202,0,0,0,0,False,1423401,65,10143,115,0
2026-09-22 16:50:43.799,v2.2.0,27,2202,0,0,0,0,False,1424014,65,10170,115,0
2026-09-22 16:51:49.286,v2.2.0,27,2202,0,0,0,0,False,1424487,65,10196,116,0
2026-09-22 16:52:55.722,v2.2.0,27,2202,0,0,0,0,False,1425000,65,10223,116,0
2026-09-22 16:54:00.431,v2.2.0,27,2202,0,0,0,0,False,1425449,65,10254,117,0
2026-09-22 16:55:06.605,v2.2.0,27,2202,0,0,0,0,False,1425899,65,10294,117,0
2026-09-22 16:56:09.693,v2.2.0,27,2202,0,0,0,0,False,1426269,65,10322,117,0
2026-09-22 16:57:16.436,v2.2.0,27,2202,0,0,0,0,False,1426837,65,10353,118,0
2026-09-22 16:58:22.959,v2.2.0,27,2202,0,0,0,0,False,1427418,65,10384,118,0
2026-09-22 16:59:27.404,v2.2.0,27,2202,0,0,0,0,False,1427892,65,10410,118,0
2026-09-22 17:00:34.628,v2.2.0,27,2202,0,0,0,0,False,1428345,65,10435,118,0
2026-09-22 17:01:41.417,v2.2.0,27,2202,0,0,0,0,False,1428806,65,10463,118,0
2026-09-22 17:02:49.149,v2.2.0,27,2202,0,0,0,0,False,1429252,65,10490,119,0
2026-09-22 17:03:55.693,v2.2.0,27,2202,0,0,0,0,False,1429824,65,10517,119,0
2026-09-22 17:05:04.434,v2.2.0,27,2202,0,0,0,0,False,1430677,65,10558,119,0
2026-09-22 17:06:09.142,v2.2.0,27,2202,0,0,0,0,False,1431581,65,10591,119,0
2026-09-22 17:07:20.083,v2.2.0,27,2202,0,0,0,0,False,1432151,65,10622,120,0
2026-09-22 17:08:28.937,v2.2.0,27,2189,0,0,0,0,False,1432778,65,10650,120,0
2026-09-22 17:09:34.979,v2.2.0,27,2189,0,0,0,0,False,1433357,65,10676,120,0
2026-09-22 17:10:40.087,v2.2.0,27,2189,0,0,0,0,False,1433985,65,10705,120,0
2026-09-22 17:11:48.100,v2.2.0,27,2189,0,0,0,0,False,1434640,65,10732,120,0
