collected_at_kst,api_id,instrument_type,code,base_date,page,row_count,cont_yn,next_key_present,status,message,first_raw_time,last_raw_time
2026-09-13T21:11:44.488209+09:00,ka20005,INDEX,101,2026-09-13,58,900,Y,True,COMPLETE,,20260226113500.0,20260224092000.0
2026-09-13T21:11:45.046944+09:00,ka20005,INDEX,101,2026-09-13,59,900,Y,True,COMPLETE,,20260224091900.0,20260219132600.0
2026-09-13T21:11:45.538305+09:00,ka20005,INDEX,101,2026-09-13,60,900,Y,True,COMPLETE,,20260219132500.0,20260212111000.0
2026-09-13T21:11:46.026722+09:00,ka20005,INDEX,101,2026-09-13,61,900,Y,True,COMPLETE,,20260212110900.0,20260209151600.0
2026-09-13T21:11:46.531031+09:00,ka20005,INDEX,101,2026-09-13,62,900,Y,True,COMPLETE,,20260209151500.0,20260205130000.0
2026-09-13T21:11:47.053889+09:00,ka20005,INDEX,101,2026-09-13,63,900,Y,True,COMPLETE,,20260205125900.0,20260203104400.0
2026-09-13T21:11:47.581600+09:00,ka20005,INDEX,101,2026-09-13,64,900,Y,True,COMPLETE,,20260203104300.0,20260129145000.0
2026-09-13T21:11:48.266583+09:00,ka20005,INDEX,101,2026-09-13,65,900,Y,True,COMPLETE,,20260129144900.0,20260127123400.0
2026-09-13T21:11:48.807908+09:00,ka20005,INDEX,101,2026-09-13,66,900,Y,True,COMPLETE,,20260127123300.0,20260123101800.0
2026-09-13T21:11:49.351053+09:00,ka20005,INDEX,101,2026-09-13,67,900,Y,True,COMPLETE,,20260123101700.0,20260120142400.0
2026-09-13T21:11:49.922483+09:00,ka20005,INDEX,101,2026-09-13,68,900,Y,True,COMPLETE,,20260120142300.0,20260116120800.0
2026-09-13T21:11:50.504833+09:00,ka20005,INDEX,101,2026-09-13,69,900,Y,True,COMPLETE,,20260116120700.0,20260114095200.0
2026-09-13T21:11:51.063609+09:00,ka20005,INDEX,101,2026-09-13,70,900,Y,True,COMPLETE,,20260114095100.0,20260109135800.0
2026-09-13T21:11:51.690497+09:00,ka20005,INDEX,101,2026-09-13,71,900,Y,True,COMPLETE,,20260109135700.0,20260107114200.0
2026-09-13T21:11:52.354862+09:00,ka20005,INDEX,101,2026-09-13,72,900,Y,True,COMPLETE,,20260107114100.0,20260105092600.0
2026-09-13T21:11:52.930306+09:00,ka20005,INDEX,101,2026-09-13,73,900,Y,True,COMPLETE,,20260105092500.0,20251229123200.0
2026-09-13T21:11:53.506982+09:00,ka20005,INDEX,101,2026-09-13,74,900,Y,True,COMPLETE,,20251229123100.0,20251224101600.0
2026-09-13T21:11:54.096124+09:00,ka20005,INDEX,101,2026-09-13,75,900,Y,True,COMPLETE,,20251224101500.0,20251219142200.0
2026-09-13T21:11:54.700167+09:00,ka20005,INDEX,101,2026-09-13,76,900,Y,True,COMPLETE,,20251219142100.0,20251217120600.0
2026-09-13T21:11:55.426771+09:00,ka20005,INDEX,101,2026-09-13,77,900,Y,True,COMPLETE,,20251217120500.0,20251215095000.0
2026-09-13T21:11:56.036312+09:00,ka20005,INDEX,101,2026-09-13,78,900,Y,True,COMPLETE,,20251215094900.0,20251210135600.0
2026-09-13T21:11:56.659162+09:00,ka20005,INDEX,101,2026-09-13,79,900,Y,True,COMPLETE,,20251210135500.0,20251208114000.0
