market,instrument_type,code,name,datetime_kst,trade_date,open,high,low,close,volume,cumulative_volume,source_api,adjusted_flag,collection_status
KOSPI,INDEX,001,KOSPI,2025-09-10T09:05:00+09:00,2025-09-10,328053.0,328311.0,328053.0,328311.0,2373,26196,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-10T09:06:00+09:00,2025-09-10,328281.0,328397.0,328245.0,328245.0,2218,28414,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-10T09:07:00+09:00,2025-09-10,328343.0,328358.0,328215.0,328215.0,2008,30422,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-10T09:08:00+09:00,2025-09-10,328192.0,328477.0,328141.0,328477.0,2197,32619,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-10T09:09:00+09:00,2025-09-10,328250.0,328367.0,328250.0,328251.0,2004,34623,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-10T09:10:00+09:00,2025-09-10,328196.0,328285.0,328112.0,328112.0,2022,36645,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-10T09:11:00+09:00,2025-09-10,328091.0,328134.0,328008.0,328008.0,2080,38725,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-10T09:12:00+09:00,2025-09-10,328099.0,328205.0,328041.0,328140.0,2454,41179,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-10T09:13:00+09:00,2025-09-10,328209.0,328434.0,328209.0,328400.0,2112,43291,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-10T09:14:00+09:00,2025-09-10,328341.0,328686.0,328341.0,328686.0,2451,45742,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-10T09:15:00+09:00,2025-09-10,328615.0,328821.0,328615.0,328734.0,2253,47995,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-10T09:16:00+09:00,2025-09-10,328731.0,328902.0,328708.0,328898.0,1953,49948,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-10T09:17:00+09:00,2025-09-10,328895.0,328988.0,328844.0,328988.0,1505,51453,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-10T09:18:00+09:00,2025-09-10,328945.0,329187.0,328945.0,329187.0,1635,53088,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-10T09:19:00+09:00,2025-09-10,329241.0,329241.0,328989.0,328989.0,1441,54529,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-10T09:20:00+09:00,2025-09-10,329047.0,329047.0,328954.0,329039.0,1654,56183,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-10T09:21:00+09:00,2025-09-10,328975.0,329247.0,328975.0,329247.0,1682,57865,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-10T09:22:00+09:00,2025-09-10,329342.0,329342.0,329229.0,329242.0,1509,59374,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-10T09:23:00+09:00,2025-09-10,329226.0,329516.0,329226.0,329485.0,1438,60812,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-10T09:24:00+09:00,2025-09-10,329564.0,329617.0,329439.0,329439.0,1365,62177,ka20005,N/A,PARTIAL
